tweet_id,author,text,date,url
000791,user_xYzz,"c’est quoi votre délire on peut même pas jouer a la play ça fait que bug, moi tout comme mes potes qui sont chez vous comme par hasard",2024-08-22 20:33:15+00:00,https://twitter.com/user_xYzz/status/1826719305225891961
000444,Jakadi15,"bonjour , que faut-il faire pour avoir une personne de chez au téléphone ?",2024-08-03 15:59:00+00:00,https://twitter.com/Jakadi15/status/1819764919086059557
002514,Mehdiyeah,c’est quoi cette connerie ? on ne peut plus passer les pubs si on regarde en différé.nenlevez ça de suite ou je me désabonne !n,2024-11-19 22:06:53+00:00,https://twitter.com/Mehdiyeah/status/1858995385911701760
000197,Leperefuetar,"eh !! votre fameux wifi 7 et vos répéteurs sont nuls de chez nils. la box ultra plus 3 répéteurs sont bien en dessous des trois google que j'avais. vous vendez du rêve , mais c'est surtout du bas de gamme made in pourrave.",2024-07-21 21:36:26+00:00,https://twitter.com/Leperefuetar/status/1815138793457848826
000411,meteorPegase,le plus grand compte tweeter merci si je me fais bannir valorant c’est de votre faute je veux un dédommagement,2024-07-31 21:28:14+00:00,https://twitter.com/meteorPegase/status/1818760607899730129
001589,GeWoessner,"il y a 6 mois, je vous racontais mes déboires avec les escrocs de , qui vous vendent un service qu'ils ne sont pas capables de fournir.ncomme de juste, ce 1er octobre, je n'ai de nouveau plus internet depuis une semaine.nen six mois, strictement rien n'a été fait.nle problème, selon un premier technicien qui s'est déplacé, dépendrait de qui gère le câble reliant l'armoire (dégueulasse) de ma rue et le placard (dégueulasse) central.non me fixe un rdv ce matin.nle technicien ne vient pas.nle sav d...",2024-10-01 08:07:17+00:00,https://twitter.com/GeWoessner/status/1841027090793091438
003496,BiwBawflrn,"pas de connexion pendant la moitié du moi de mai (période de partiels, 2 coupure au total, un backup qui ne fonctionne pas et qui grapille le moindre centime sur le dos des étudiants et me rembourse 10 euros sur mon abonnement. merci free.",2025-05-23 03:22:53+00:00,https://twitter.com/BiwBawflrn/status/1925754277336654136
000890,KROKKERZ,suite à l incompétence des équipes que j’ai eu au téléphone je me permet de vous écrire ici ! nnma connections ethernet est bridé à 100mo/s alors que le wifi atteint 750 mb par seconde étant équipé de cat6 en câble et cat7 pour les câble dans les mur je trouve ça bizarre ??,2024-08-28 09:51:40+00:00,https://twitter.com/KROKKERZ/status/1828732173119046111
000180,Skyphal21,plus de télé et plus internet.nje suis bloqué étape 6 de la freebox à marseille...,2024-07-19 18:38:55+00:00,https://twitter.com/Skyphal21/status/1814369345046491472
003373,Freebox,"bonjour,nnla messagerie privée x n’est plus disponible. nretrouvez-moi dès à présent sur messenger si votre demande sur le replay est toujours d'actualité.n▶️ sommes également disponibles via d'autres canaux :n▶️ - free",2025-05-07 12:05:08+00:00,https://twitter.com/Freebox/status/1920087500048974262
002572,MargotWarrior,"bonjour comment on fait quand un sous-traitant nous débranche la fibre pour brancher quelqu’un d’autre (notre voisin), l’admet clairement, mais remet la faute sur vous ? au final ni notre voisin ni nous n’avons la fibre maintenant",2024-11-22 16:05:30+00:00,https://twitter.com/MargotWarrior/status/1859991605488623905
002067,100Dents1,alerte info ??n,2024-10-22 13:44:54+00:00,https://twitter.com/100Dents1/status/1848722196962635907
000817,Laury_bro971,comment on fait pour avoir un conseiller au téléphone pour nous aider?? je tombe que sur l’assistant vocal qui propose pas grand chose….,2024-08-24 11:05:57+00:00,https://twitter.com/Laury_bro971/status/1827301313895452816
003712,Freebox,"bonjour,nnla messagerie privée x n’est plus disponible, et nous en sommes désolés. nretrouvez-moi dès à présent sur messenger si toujours nécessaire :n▶️ sommes également disponibles via d'autres canaux :n▶️ - free",2025-06-10 12:22:36+00:00,https://twitter.com/Freebox/status/1932413085450404004
001867,ScorPI0912,"bonjour , ça fait 2mois que j'ai fais une demande de migration pour passer a la freebox ultra.malgré plusieurs relances via mon espace client j'attends toujours la box + le rendez vous avec un technicien j'attends encore une semaine et ensuite je pars chez la concurrence",2024-10-12 07:41:52+00:00,https://twitter.com/ScorPI0912/status/1845006960497758250
001558,zookysan,dites moi ils foutent quoi vos techniciens a longueur de journée pour être obligé d'attendre 15 jours pour un taff qui dure 10 min c'est a dire tirer un file ?,2024-09-28 15:34:33+00:00,https://twitter.com/zookysan/status/1840052483936120961
000512,cloudyxiv_,"c'est possible d'avoir un réseau qui fonctionne ? la dernière fois que ma box est restée bloquée je n'ai pas eu de wifi pendant un mois, ça as été réparé ya deux mois seulement et ça recommence ? 35 euros pour ça ?",2024-08-07 10:00:50+00:00,https://twitter.com/cloudyxiv_/status/1821124335051915542
001538,juah_bach,j’ai :n- envoyé 2 lettres recommandéesn- discuté sur messenger/whatsapn- téléphoné plusieurs foisn- signalé l’anomalie tous les moisnvotre service connaît et reconnaît l’anomalie mais refuse de me rembourser.ntag et ton directeur commercial quand tu t’adresses à moi.,2024-09-27 15:30:19+00:00,https://twitter.com/juah_bach/status/1839689032592183786
003504,chaoticvibing,"hello :)nnje suis actuellement sur une offre mini 4k et souhaiterais migrer vers la pop s.nnl'interface web ne propose que la pop classique, l'offre pop s est pourtant disponible en nouvel abonnement sur comment puis-je migrer? merci :)",2025-05-25 20:56:09+00:00,https://twitter.com/chaoticvibing/status/1926744115930096101
001954,Isa_BelleGueule,"'étude jean benzaken et associés m'a contacté, et soit dit en passant, sans explication, mal aimable et malpoli.. au sujet d'une facture de 190e par rapport à du matériel que je ne vous aurais pas renvoyé, hors j ai bel et bien déjà renvoyé ma box !!",2024-10-17 10:13:04+00:00,https://twitter.com/Isa_BelleGueule/status/1846856949586960788
001942,Philois83,pourquoi absence de sous titre dans feuilleton un soupçon sur fr2 ??,2024-10-16 19:52:38+00:00,https://twitter.com/Philois83/status/1846640415199711748
000819,jaad_soo,?,2024-08-24 12:29:48+00:00,https://twitter.com/jaad_soo/status/1827322415858237448
001821,Hugo_Miskine,"hello nnj'ai remarqué que vos services free et free mobile semblait souvent tomber sur cette tranche d'heure n(00h30/1h00) pendant une 30aine de minutes environ, avez vous une explication ou s'agit t'il d'un défaut matériel ?",2024-10-08 23:34:23+00:00,https://twitter.com/Hugo_Miskine/status/1843797118290678140
